@ NAME             %19s "TRACK.OBS0001.P0001"
@ TYPE             %08s "TRACKOBS"
@ TITLE            %02s "r3"
@ ORIGIN           %17s "5.09.03 Darwin 64"
@ DATE             %08s "01/07/24"
@ TIME             %08s "16.21.42"
*     NUMBER       TURN                  X                 PX                  Y                 PY                  T                 PT                  S                  E 
$         %d         %d                %le                %le                %le                %le                %le                %le                %le                %le 
          1          0               0.08                  0                  0                  0                  0                  0                  0        144.8312451
          1          1    -0.003837838148     -0.01031493462                  0                  0                  0                  0                  0        144.8312451
          1          2     -0.08162312029    -0.004360782193                  0                  0                  0                  0                  0        144.8312451
          1          3     -0.03066390985     0.008472206046                  0                  0                  0                  0                  0        144.8312451
          1          4      0.06866026048     0.007941868612                  0                  0                  0                  0                  0        144.8312451
          1          5      0.05968708687    -0.005115440718                  0                  0                  0                  0                  0        144.8312451
          1          6     -0.04342846925     -0.01010357386                  0                  0                  0                  0                  0        144.8312451
          1          7     -0.07804601386    0.0008441117816                  0                  0                  0                  0                  0        144.8312451
          1          8      0.01043750869      0.01046023427                  0                  0                  0                  0                  0        144.8312451
          1          9      0.08245914151     0.003578168575                  0                  0                  0                  0                  0        144.8312451
          1         10      0.02441767335     -0.00894826319                  0                  0                  0                  0                  0        144.8312451
          1         11     -0.07213693232    -0.007360643984                  0                  0                  0                  0                  0        144.8312451
          1         12     -0.05491017892     0.005837308815                  0                  0                  0                  0                  0        144.8312451
          1         13      0.04892432415     0.009827502648                  0                  0                  0                  0                  0        144.8312451
          1         14      0.07559206041    -0.001682811224                  0                  0                  0                  0                  0        144.8312451
          1         15     -0.01697034976     -0.01053854454                  0                  0                  0                  0                  0        144.8312451
          1         16      -0.0827668849    -0.002772615237                  0                  0                  0                  0                  0        144.8312451
          1         17     -0.01801503392     0.009366995352                  0                  0                  0                  0                  0        144.8312451
          1         18      0.07515147128     0.006732251624                  0                  0                  0                  0                  0        144.8312451
          1         19      0.04978155848    -0.006521762567                  0                  0                  0                  0                  0        144.8312451
          1         20      -0.0541067985    -0.009488485273                  0                  0                  0                  0                  0        144.8312451
          1         21     -0.07265387019     0.002510720942                  0                  0                  0                  0                  0        144.8312451
          1         22      0.02339451755      0.01054936514                  0                  0                  0                  0                  0        144.8312451
